Top,Russian,Audio,English,Spanish,Example Russian 1,Example Russian 2,Example Russian 3,Audio 1,Audio 2,Audio 3,Example English 1,Example English 2,Example English 3,Example Spanish 1,Example Spanish 2,Example Spanish 3,Tag
391,сле́довать,,to follow,seguir,Он всегда следует своим принципам.,Они идут по следам зверя.,Она последовала за ним в парк.,,,,He always follows his principles.,They follow the animal tracks.,She followed him to the park.,Siempre sigue sus principios.,Siguen las huellas del animal.,Lo siguió al parque.,verb
392,рассказа́ть,,to tell,contar,Я расскажу тебе о своем путешествии.,Они расскажут вам новость завтра.,Она рассказала мне о своем дне.,,,,I will tell you about my trip.,They will tell you the news tomorrow.,She told me about her day.,Te contaré sobre mi viaje.,Ellos les contarán la noticia mañana.,Ella me contó sobre su día.,verb
393,вели́кий,,great,grande,Это был великий поэт.,Эта идея кажется великой.,Встретить великого человека - удача.,,,,He was a great poet.,This idea seems great.,Meeting a great person is lucky.,Él fue un gran poeta.,Esta idea parece grande.,Encontrar a una gran persona es suerte.,adjective
394,действи́тельно,,"indeed, really",realmente,Он действи́тельно талантливый художник.,Это действи́тельно случилось.,Действи́тельно ли ты это уверен?,,,,He is indeed a talented artist.,It really happened.,Are you really sure about it?,Él es realmente un talentoso artista.,Realmente ocurrió.,¿Estás realmente seguro de eso?,adverb
395,сли́шком,,too,demasiado,Это задание слишком сложное.,Он слишком много говорит.,Я работаю слишком медленно.,,,,This task is too difficult.,He talks too much.,I work too slowly.,Esta tarea es demasiado difícil.,Él habla demasiado.,Estoy trabajando demasiado despacio.,adverb
396,тяжёлый,,heavy,pesado,Коробка с книгами была очень тяжелой.,Мешок с песком выглядел тяжелым.,Решение этой задачи было для него тяжелым.,,,,The box with books was very heavy.,The sack of sand looked heavy.,Solving this problem was heavy for him.,La caja con libros era muy pesada.,El saco de arena parecía pesado.,Resolver este problema fue pesado para él.,adjective
397,спать,,to sleep,dormir,Она обычно спит в течение 8 часов.,Они любят спать под одеялом.,Вчера я спал всю ночь.,,,,She usually sleeps for 8 hours.,They like to sleep under the blanket.,"Yesterday, I slept all night.",Ella normalmente duerme durante 8 horas.,Les gusta dormir bajo la manta.,Ayer dormí toda la noche.,verb
398,оста́вить,,to leave,dejar,"Пожалуйста, оставь мне ключи.",Они оставили записку на столе.,Он оставил свою работу давно.,,,,Please leave the keys with me.,They left a note on the table.,He left his job a long time ago.,"Por favor, déjame las llaves.",Ellos dejaron una nota en la mesa.,Él dejó su trabajo hace mucho tiempo.,verb
399,войти́,,to enter,entrar,Ты можешь войти́ в комнату.,Они вошли в здание.,Вчера мы вошли́ в музей.,,,,You can enter the room.,They entered the building.,Yesterday we entered the museum.,Puedes entrar en la habitación.,Entraron en el edificio.,Ayer entramos en el museo.,verb
400,дли́нный,,long,largo,У меня очень длинный плед на диван.,Этот марафон — самый длинный за последние годы.,"Если есть длинный путь, не откладывай начала.",,,,I have a very long blanket on the sofa.,This marathon is the longest in recent years.,"If the road is long, start without delay.",Tengo una manta muy larga en el sofá.,Este maratón es el más largo en años recientes.,"Si el camino es largo, no demores el inicio.",adjective
401,чу́вство,,feeling,sentimiento,У нее́ сильное чу́вство ответственности.,Это́ могло нарушить ее́ внутреннее чу́вство,Чу́вство удовлетворения было невероятно.,,,,She has a strong sense of responsibility.,This could disrupt her inner feeling.,The feeling of satisfaction was incredible.,Ella tiene un fuerte sentido de responsabilidad.,Esto podría perturbar su sentimiento interno.,El sentimiento de satisfacción fue increíble.,noun
402,молча́ть,,to be silent,callar,"Я часто молчу, когда разговаривают о политике.","Они молчат, слушая звуки природы.",Вчера он молчал на весь урок.,,,,I often stay silent when politics are being discussed.,"They are silent, listening to the sounds of nature.",Yesterday he was silent throughout the whole lesson.,A menudo guardo silencio cuando se habla de política.,"Ellos guardan silencio, escuchando los sonidos de la naturaleza.",Ayer estuvo callado durante toda la lección.,verb
403,расска́зывать,,to tell,contar,Я расска́зываю историю своего детства.,Мы расска́зываем друг другу о путешествиях.,Вчера она расска́зала мне интересную новость.,,,,I am telling a story of my childhood.,We tell each other about our travels.,Yesterday she told me an interesting news.,Estoy contando una historia de mi infancia.,Nos contamos sobre nuestros viajes.,Ayer me contó una noticia interesante.,verb
404,отвеча́ть,,to answer,contestar,Я всегда отвечаю на вопросы.,Мы отвечаем на все сообщения.,Вчера я отвечал на письма.,,,,I always answer questions.,We answer all messages.,Yesterday I answered emails.,Siempre contesto preguntas.,Respondemos todos los mensajes.,Ayer respondí correos electrónicos.,verb
405,станови́ться,,to become,volverse,Я становлюсь умнее с каждым днем.,Они становятся все более ответственными.,Вчера он стал директором.,,,,I become smarter every day.,They are becoming more responsible.,Yesterday he became the director.,Me vuelvo más inteligente cada día.,Ellos se vuelven más responsables.,Ayer él se convirtió en el director.,verb
406,останови́ться,,to stop,detenerse,"Не могу остановиться долго, мне нужно идти.",Вы остановитесь и расслабьтесь.,Вчера я остановился в парке.,,,,"I can't stop for long, I need to go.",You stop and relax.,Yesterday I stopped at the park.,"No puedo parar mucho tiempo, necesito ir.",Ustedes paren y relájense.,Ayer me detuve en el parque.,verb
407,бе́рег,,bank,orilla,Я сижу на берегу реки.,Мы прогуливаемся по берегу.,На берегу мы видели много птиц.,,,,I am sitting on the river bank.,We are walking along the bank.,"On the bank, we saw many birds.",Estoy sentado en la orilla del río.,Estamos paseando por la orilla.,"En la orilla, vimos muchos pájaros.",noun
408,семья́,,family,familia,"У меня много дел, но семья - главное.",Моя семья живет в другом городе.,Он поддерживает свою семью финансово.,,,,"I have a lot to do, but family comes first.",My family lives in another city.,He financially supports his family.,"Tengo mucho que hacer, pero la familia es lo primero.",Mi familia vive en otra ciudad.,Él apoya financieramente a su familia.,noun
409,иска́ть,,to search,buscar,Ты всегда ищешь свои ключи в последний момент.,Они ищут потерянного кота по всему району.,Вчера я искал свой паспорт целый час.,,,,You always search for your keys at the last moment.,They are looking for the lost cat all over the neighborhood.,Yesterday I searched for my passport for a whole hour.,Siempre buscas tus llaves en el último momento.,Están buscando al gato perdido por todo el vecindario.,Ayer busqué mi pasaporte durante una hora.,verb
410,генера́л,,general,general,Генера́л дал указания войскам.,Прозвучал приказ генера́ла.,Генера́лу поклонились военные.,,,,The general gave orders to the troops.,The order of the general was heard.,The soldiers saluted the general.,El general dio órdenes a las tropas.,Se escuchó la orden del general.,Los soldados saludaron al general.,noun
411,моме́нт,,moment,momento,Я запомнил этот важный момент.,Она наслаждается каждым моментом.,В этот момент все изменилось.,,,,I remember this important moment.,She enjoys every moment.,Everything changed in that moment.,Recuerdo este momento importante.,Ella disfruta de cada momento.,Todo cambió en ese momento.,noun
412,де́сять,,ten,diez,У меня есть десять пальцев.,Он прошел десять километров.,На часах десять часов.,,,,I have ten fingers.,He walked ten kilometers.,It's ten o'clock.,Tengo diez dedos.,Él caminó diez kilómetros.,Son las diez en punto.,numeral
413,нача́ть,,to start,empezar,Я начинаю новый проект на следующей неделе.,Мы начинаем учить испанский с нуля.,Он начал учить французский язык в школе.,,,,I start a new project next week.,We start learning Spanish from scratch.,He started learning French in school.,Comienzo un nuevo proyecto la próxima semana.,Empezamos a aprender español desde cero.,Él comenzó a aprender francés en la escuela.,verb
414,сле́дующий,,next,siguiente,Мой сле́дующий урок - математика.,Сле́дующего вас - мой друг.,На сле́дующей неделе будут экзамены.,,,,My next lesson is math.,The next one after you is my friend.,Exams are next week.,Mi próxima lección es matemáticas.,El siguiente después de ti es mi amigo.,Los exámenes son la próxima semana.,adjective
415,ли́чный,,personal,personal,У нее́ очень я́ркий ли́чный стиль.,Со́сед показа́л мне сво́й ли́чный автомоби́ль.,Он обсужда́л ли́чные дела́ только с близкими́.,,,,She has a very unique personal style.,The neighbor showed me his personal car.,He discussed personal matters only with close ones.,Ella tiene un estilo personal muy llamativo.,El vecino me mostró su coche personal.,Hablaba de asuntos personales solo con los más cercanos.,adjective
416,труд,,labor,trabajo,Мой отец очень ценит труд каждого человека.,Она стала признанным специалистом в области труда.,Успех зависит от качества труда.,,,,My father highly values the labor of every person.,She has become a respected expert in the field of labor.,Success depends on the quality of labor.,Mi padre valora mucho el trabajo de cada persona.,Ella se ha convertido en una experta reconocida en el campo del trabajo.,El éxito depende de la calidad del trabajo.,noun
417,ве́рить,,to believe,creer,Я всегда ве́рю в своих друзей.,Мы ве́рим в чудеса.,Моя бабушка очень сильно ве́рила в добро.,,,,I always believe in my friends.,We believe in miracles.,My grandmother strongly believed in goodness.,Siempre creo en mis amigos.,Creemos en los milagros.,Mi abuela creía firmemente en el bien.,verb
418,гру́ппа,,group,grupo,Эта гру́ппа участвует в соревновании.,Я присоединился к музыкальной гру́ппе.,Он возглавляет научную гру́ппу.,,,,This group is participating in the competition.,I joined a music group.,He leads a scientific group.,Este grupo participa en la competencia.,Me uní a un grupo de música.,Él lidera un grupo científico.,noun
419,немно́го,,a little,un poco,Осталось всего лишь немного времени.,Она немного улыбнулась.,Мне немного жарко.,,,,There is only a little time left.,She smiled a little.,I'm a little hot.,Queda muy poco tiempo.,Ella sonrió un poco.,Me siento un poco caliente.,adverb
420,впро́чем,,however,sin embargo,"Я не хочу тебя обижать, впрочем, спасибо за совет.","Она согласилась прийти, впрочем, под зимнюю акцию.","Меня это смущает, впрочем, мы должны это учесть.",,,,"I don't want to offend you, however, thank you for the advice.","She agreed to come, however, for the winter promotion.","It bothers me, however, we have to take it into account.","No quiero ofenderte, sin embargo, gracias por el consejo.","Ella acordó venir, sin embargo, por la promoción de invierno.","Me preocupa, sin embargo, tenemos que tenerlo en cuenta.",other
421,ви́дно,,visible,visible,На горизонте было ви́дно силуэты кораблей.,При ясной погоде видно далеко вперед.,В темноте было видно лишь слабые контуры.,,,,Silhouettes of ships were visible on the horizon.,"On a clear day, you can see far ahead.",Only faint outlines were visible in the darkness.,Se veían siluetas de barcos en el horizonte.,"En un día despejado, se puede ver lejos.",En la oscuridad solo se veían contornos débiles.,adverb
422,явля́ться,,to be,ser,Являюсь студентом университета.,Вы являетесь опытным поваром.,Он являлся их главным конкурентом.,,,,I am a university student.,You are an experienced chef.,He was their main competitor.,Soy estudiante universitario.,Tú eres un chef experimentado.,Él era su principal competidor.,verb
423,муж,,husband,marido,Мой муж любит готовить завтрак по выходным.,Она поддерживает своего мужа.,Мой муж очень ответственный.,,,,My husband likes to cook breakfast on weekends.,She supports her husband.,My husband is very responsible.,Mi marido le gusta cocinar el desayuno los fines de semana.,Ella apoya a su marido.,Mi marido es muy responsable.,noun
424,ра́зве,,"really, surely",acaso,Ты ра́зве не видел мою книгу?,Ра́зве можно так поступать?,Я ра́зве обещал прийти?,,,,Haven't you seen my book?,Can one really act like this?,Did I really promise to come?,¿Acaso no has visto mi libro?,¿Realmente se puede actuar así?,¿De verdad prometí venir?,other
425,движе́ние,,movement,movimiento,Лёгкое движение листа на ветру,Скоростное движение автомобиля,Движение людей по улице,,,,The light movement of the leaf in the wind,The fast movement of the car,The movement of people on the street,El leve movimiento de la hoja en el viento,El rápido movimiento del coche,El movimiento de personas en la calle,noun
426,поря́док,,order,orden,Важно держать порядок на рабочем месте.,Судья восстановил порядок в зале.,"Я люблю, когда все в порядке.",,,,It's important to maintain order at the workplace.,The judge restored order in the courtroom.,I like it when everything is in order.,Es importante mantener el orden en el lugar de trabajo.,El juez restableció el orden en la sala.,Me gusta cuando todo está en orden.,noun
427,отве́т,,answer,respuesta,Я жду твоего быстрого отве́та.,Она дала правильный отве́т.,Учитель проверял мои отве́ты.,,,,I'm waiting for your quick answer.,She gave the correct answer.,The teacher checked my answers.,Estoy esperando tu respuesta rápida.,Ella dio la respuesta correcta.,El profesor revisó mis respuestas.,noun
428,ти́хо,,quietly,silencio,"Она говорила тихо, чтобы не будить ребенка.",В парке было очень тихо и спокойно.,На улице тихо шел снег.,,,,She spoke quietly not to wake the child.,The park was very quiet and peaceful.,The snow fell quietly outside.,Hablaba en silencio para no despertar al niño.,El parque estaba muy tranquilo.,La nieve caía en silencio afuera.,adverb
429,знако́мый,,familiar,conocido,Это мой старый знако́мый.,Моя знако́мая сестра живет в городе.,Знако́мому магазину уже десять лет.,,,,This is my old acquaintance.,My known sister lives in the city.,The familiar shop has been open for ten years.,Esta es mi antigua conocida.,Mi hermana conocida vive en la ciudad.,La tienda conocida lleva abierta diez años.,adjective
430,газе́та,,newspaper,periódico,Утром я прочитал интересную газету.,Он подписался на популярную газету.,Газете посвящена статья о спорте.,,,,In the morning I read an interesting newspaper.,He subscribed to a popular newspaper.,An article about sports is dedicated to the newspaper.,Por la mañana leí un periódico interesante.,Se suscribió a un periódico popular.,Un artículo sobre deportes está dedicado al periódico.,noun
431,по́мощь,,help,ayuda,Мне нужна твоя по́мощь в этом деле.,Она всегда оказывает по́мощь.,Он отказался принять по́мощь.,,,,I need your help in this matter.,She always provides help.,He refused to accept help.,Necesito tu ayuda en este asunto.,Ella siempre brinda ayuda.,Él se negó a aceptar ayuda.,noun
432,си́льный,,strong,fuerte,У него был си́льный характер.,Это был си́льный удар.,Си́льному нужно вести себя уверенно.,,,,He had a strong character.,It was a strong blow.,A strong person should act confidently.,Tenía un carácter fuerte.,Fue un golpe fuerte.,Una persona fuerte debe actuar con seguridad.,adjective
433,ско́рый,,fast,rápido,Ско́рый автобус подвез нас к дому.,Он обещал быть ско́рым в исполнении.,Ско́рому спасению помогли вовремя.,,,,The fast bus brought us home.,He promised to be fast in execution.,Timely help led to a fast rescue.,El autobús rápido nos llevó a casa.,Él prometió ser rápido en la ejecución.,La ayuda oportuna llevó a un rescate rápido.,adjective
434,соба́ка,,dog,perro,У моей соба́ки красивая шерсть.,Соба́ке нужно много движения.,Любая соба́ка будет рада прогулке.,,,,My dog has beautiful fur.,Dogs need a lot of exercise.,Any dog will be happy to go for a walk.,Mi perro tiene un pelaje hermoso.,A los perros les hace falta mucho ejercicio.,Cualquier perro estará feliz de dar un paseo.,noun
435,де́рево,,tree,árbol,У под окном стояло огромное дерево.,Листья дерева шелестят на ветру.,Мы посадили новое дерево в парке.,,,,There was a huge tree under the window.,The tree's leaves rustle in the wind.,We planted a new tree in the park.,Había un árbol enorme bajo la ventana.,Las hojas del árbol susurran en el viento.,Plantamos un árbol nuevo en el parque.,noun
436,снег,,snow,nieve,Сегодня идет снег за окном.,Белый снег покрывает землю.,Холодный снег трещит под ногами.,,,,It is snowing outside today.,White snow covers the ground.,The cold snow crunches underfoot.,Está nevando afuera hoy.,La nieve blanca cubre el suelo.,La fría nieve cruje bajo los pies.,noun
437,сон,,dream,sueño,У меня был странный сон.,Она запомнила свой сон.,Дети видят яркие сны.,,,,I had a strange dream.,She remembered her dream.,Children see vivid dreams.,Tuve un sueño extraño.,Ella recordó su sueño.,Los niños ven sueños vívidos.,noun
438,смысл,,meaning,sentido,У каждого слова есть свой смысл.,Этот фильм имеет глубокий смысл.,Она искала смысл жизни.,,,,Every word has its own meaning.,This movie has a deep meaning.,She was searching for the meaning of life.,Cada palabra tiene su propio significado.,Esta película tiene un significado profundo.,Ella buscaba el sentido de la vida.,noun
439,смочь,,to be able,poder,Ты сможешь это сделать?,Они не смогли пройти этот тест.,Вчера я смог добраться до дома.,,,,Will you be able to do it?,They couldn't pass this test.,Yesterday I managed to get home.,¿Podrás hacerlo?,Ellos no pudieron pasar esta prueba.,Ayer logré llegar a casa.,verb
440,про́тив,,against,contra,Он выступал про́тив нового закона.,Команда играла про́тив сильного соперника.,Он всегда действует про́тив моих желаний.,,,,He spoke against the new law.,The team played against a strong opponent.,He always acts against my wishes.,Él hablaba contra la nueva ley.,El equipo jugó contra un rival fuerte.,Siempre actúa en contra de mis deseos.,other
441,бежа́ть,,to run,correr,Она всегда бежит по утрам в парке.,"Вы бежите быстрее, чем я.",Вчера я бежал в парке.,,,,She always runs in the park in the mornings.,You run faster than me.,Yesterday I ran in the park.,Ella siempre corre en el parque por las mañanas.,Ustedes corren más rápido que yo.,Ayer corrí en el parque.,verb
442,двор,,yard,patio,Я играю с собакой на дворе.,Мы выгуливаем собаку во дворе.,В доме был красивый двор.,,,,I play with the dog in the yard.,We walk the dog in the yard.,The house had a beautiful yard.,Juego con el perro en el patio.,Paseamos al perro en el patio.,La casa tenía un patio hermoso.,noun
443,фо́рма,,form,forma,"У меня есть бланк анкеты, заполни его фо́рму.",Важно правильно заполнить эту фо́рму.,Различные фо́рмы реализуются в дизайне.,,,,"I have a questionnaire sheet, fill out its form.",It's important to fill out this form correctly.,Different forms are realized in design.,"Tengo una hoja de cuestionario, completa su forma.",Es importante completar esta forma correctamente.,Diferentes formas se realizan en el diseño.,noun
444,просто́й,,simple,simple,Это был просто́й вопрос.,Она одела просто́е платье.,Просто́му человеку улыбнитесь.,,,,It was a simple question.,She wore a simple dress.,Smile at a simple person.,Fue una pregunta simple.,Ella llevaba un vestido sencillo.,Sonríele a una persona sencilla.,adjective
445,прие́хать,,to come,llegar,Я прие́ду на вокзал в пять вечера.,Они приёхали на море на выходных.,Мы приёхали в город вчера.,,,,I will come to the train station at 5 p.m.,They came to the sea for the weekend.,We arrived in the city yesterday.,Llegaré a la estación de tren a las 5 p.m.,Ellos vinieron al mar el fin de semana.,Llegamos a la ciudad ayer.,verb
446,ино́й,,other,otro,У них были иные планы на вечер.,Это иное мнение по этому вопросу.,Он предложил иное решение.,,,,They had other plans for the evening.,This is a different opinion on the matter.,He suggested another solution.,Tenían otros planes para la noche.,Esta es otra opinión sobre el tema.,Él propuso otra solución.,other
447,крича́ть,,to shout,gritar,Почему ты всегда так кричишь?,Мы кричали во время игры.,Он кричал на весь город.,,,,Why do you always shout like that?,We were shouting during the game.,He shouted for the whole town.,¿Por qué siempre gritas así?,Estábamos gritando durante el juego.,Él gritaba por todo el pueblo.,verb
448,возмо́жность,,possibility,posibilidad,У него есть возможность помочь тебе с проектом.,Она рассматривает возможность отдыха.,Это дает возможность реализовать мечты.,,,,He has the possibility to help you with the project.,She is considering the possibility of taking a break.,It gives the opportunity to fulfill dreams.,Él tiene la posibilidad de ayudarte con el proyecto.,Ella está considerando la posibilidad de tomar un descanso.,Da la oportunidad de cumplir los sueños.,noun
449,о́бщество,,society,sociedad,О́бщество обсуждает свои проблемы.,Я люблю проводить время с обществом.,Это важно для каждого члена общества.,,,,Society discusses its problems.,I enjoy spending time with society.,It's important for every member of society.,La sociedad discute sus problemas.,Me gusta pasar tiempo con la sociedad.,Es importante para cada miembro de la sociedad.,noun
450,зелёный,,green,verde,Я люблю зелёный цвет листвы.,Этот зелёный узор красив.,В парке растут зелёные деревья.,,,,I love the green color of the leaves.,This green pattern is beautiful.,Green trees grow in the park.,Me encanta el color verde de las hojas.,Este patrón verde es hermoso.,Los árboles verdes crecen en el parque.,adjective
451,грудь,,chest,pecho,У нее была ранена грудь.,Я почувствовал удар в грудь.,Его сердце билось в груди.,,,,She had a wounded chest.,I felt a blow to my chest.,His heart was beating in his chest.,Ella tenía el pecho herido.,Sentí un golpe en el pecho.,Su corazón latía en su pecho.,noun
452,у́гол,,corner,esquina,Я поставил стол у у́гла комнаты.,Он указал на острый у́гол.,Дети играли в у́гле двора.,,,,I placed the table in the corner.,He pointed to the sharp corner.,The children were playing in the corner.,Puse la mesa en el rincón de la habitación.,Él señaló el rincón afilado.,Los niños estaban jugando en el rincón.,noun
453,откры́ть,,to open,abrir,Я открываю окно каждое утро.,Они открывают дверь и входят.,Вчера я открыл новую книгу.,,,,I open the window every morning.,They open the door and enter.,Yesterday I opened a new book.,Abro la ventana cada mañana.,Ellos abren la puerta y entran.,Ayer abrí un libro nuevo.,verb
454,происходи́ть,,to happen,suceder,"Я не знаю, что происходит.","Они никогда не знали, что происходит.",Вчера произошло что-то интересное.,,,,I don't know what's happening.,They never knew what was happening.,Something interesting happened yesterday.,No sé qué está sucediendo.,Ellos nunca supieron qué sucedía.,Ayer pasó algo interesante.,verb
455,ла́дно,,alright,vale,"""Ладно, я подожду""","""Ладно, тогда дело сделано""","""Ладно, договорились""",,,,"""Alright, I'll wait""","""Alright, then it's done""","""Alright, that's settled""","""Vale, esperaré""","""Vale, entonces está hecho""","""Vale, eso está arreglado""",adverb
456,чёрный,,black,negro,У меня новый чёрный пиджак.,Его глаза были как у чёрной кошки.,Она носила чёрное платье.,,,,I have a new black jacket.,His eyes were like a black cat's.,She was wearing a black dress.,Tengo una nueva chaqueta negra.,Sus ojos eran como los de un gato negro.,Ella llevaba un vestido negro.,noun
457,век,,century,siglo,Это здание было построено в XIX веке.,Он изучает историю XX века.,В XVII веке произошло много изменений.,,,,This building was built in the 19th century.,He studies the history of the 20th century.,Many changes occurred in the 17th century.,Este edificio fue construido en el siglo XIX.,Él estudia la historia del siglo XX.,Muchos cambios ocurrieron en el siglo XVII.,noun
458,карма́н,,pocket,bolsillo,У меня в карма́не нашлась потертая карточка.,Я положил ключи во внутренний карма́н.,В карма́не лежали забытые конфеты.,,,,I found a worn-out card in my pocket.,I put the keys in the inner pocket.,Forgotten candies were lying in the pocket.,Encontré una tarjeta desgastada en mi bolsillo.,Puse las llaves en el bolsillo interior.,Dulces olvidados estaban en el bolsillo.,noun
459,е́хать,,to go,ir,Он едет на работу каждое утро.,Они едут на дачу на выходных.,Вчера я поехал в магазин.,,,,He goes to work every morning.,They go to the countryside on weekends.,Yesterday I went to the store.,Él va al trabajo cada mañana.,Ellos van al campo los fines de semana.,Ayer fui a la tienda.,verb
460,не́мец,,German,alemán,Мой друг изучает немецкий язык.,Она познакомилась с немцем.,Немцу нравится пиво.,,,,My friend is studying German.,She met a German.,Germans like beer.,Mi amigo estudia alemán.,Ella conoció a un alemán.,A los alemanes les gusta la cerveza.,noun
461,наве́рное,,probably,probablemente,"Наве́рное, он забыл нас пригласить на свадьбу.",Я наве́рное не успею на встречу.,Работа завершится наве́рное к пятнице.,,,,"Probably, he forgot to invite us to the wedding.",I probably won't make it to the meeting.,The work will probably be finished by Friday.,"Probablemente, se olvidó de invitarnos a la boda.",Probablemente no llegaré a la reunión.,El trabajo probablemente estará terminado para el viernes.,adverb
462,губа́,,lip,labio,Я применил помаду на губе.,Красная губа выделяется.,Губу лучше увлажнить.,,,,I applied lipstick on my lip.,The red lip stands out.,It's better to moisturize the lip.,Me apliqué lápiz labial en el labio.,El labio rojo resalta.,Es mejor hidratar el labio.,noun
463,дя́дя,,uncle,tío,Мой дядя работает в большой компании.,Я поехал в гости к дяде.,Дядя всегда поддержит в трудную минуту.,,,,My uncle works in a big company.,I went to visit my uncle.,An uncle will always support in difficult times.,Mi tío trabaja en una empresa grande.,Fui de visita a mi tío.,Un tío siempre dará apoyo en momentos difíciles.,noun
464,приходи́ть,,to come,venir,Почему ты не приходишь раньше?,Они всегда приходят вовремя.,Он вчера пришёл на урок плавания.,,,,Why don't you come earlier?,They always come on time.,He came to the swimming lesson yesterday.,¿Por qué no vienes antes?,Siempre llegan a tiempo.,Él vino a la clase de natación ayer.,verb
465,ча́сто,,often,frecuente,Я часто бываю в этом магазине.,Они не часто ходят в кино.,Она часто занимается йогой.,,,,I often visit this store.,They don't often go to the movies.,She often practices yoga.,Frecuentemente visito esta tienda.,Ellos no van frecuentemente al cine.,Ella a menudo practica yoga.,adverb
466,домо́й,,home,casa,Я с нетерпением жду возвращения домо́й.,Она отправилась к себе домо́й после работы.,Он украсил свой домо́й на Рождество.,,,,I am looking forward to coming home.,She went back home after work.,He decorated his home for Christmas.,Estoy deseando volver a casa.,Ella regresó a casa después del trabajo.,Él decoró su casa para Navidad.,adverb
467,ого́нь,,fire,fuego,Огонь красиво танцует в костре.,Свет и тепло исходят от огня.,Пожарные тушили огонь всю ночь.,,,,The fire dances beautifully in the bonfire.,Light and warmth emanate from the fire.,Firefighters extinguished the fire all night.,El fuego baila hermosamente en la hoguera.,Luz y calor emanan del fuego.,Los bomberos apagaron el fuego toda la noche.,noun
468,писа́тель,,writer,escritor,Этот писатель получил премию.,Она стала известной писательницей.,Писателю нужно много вдохновения.,,,,This writer received an award.,She became a famous writer.,A writer needs a lot of inspiration.,Este escritor recibió un premio.,Ella se convirtió en una escritora famosa.,Un escritor necesita mucha inspiración.,noun
469,а́рмия,,army,ejército,А́рмия защищает страну от внешних угроз.,Офицер командует а́рмией.,В армии служит мой старший брат.,,,,The army defends the country.,The officer commands the army.,My older brother serves in the army.,El ejército defiende el país.,El oficial comanda el ejército.,Mi hermano mayor sirve en el ejército.,noun
470,состоя́ние,,condition,condición,Его физическое состояние улучшилось.,У нее было плохое состояние здоровья.,Состояние дорогих вещей привлекает взгляды.,,,,His physical condition improved.,She had a poor health condition.,The condition of expensive things attracts looks.,Su estado físico mejoró.,Tenía una mala condición de salud.,El estado de las cosas caras atrae miradas.,noun
471,зуб,,tooth,diente,У меня болит зуб.,Мой зуб сломался.,Зубы нужно чистить дважды в день.,,,,I have a toothache.,My tooth is broken.,Teeth should be brushed twice a day.,Me duele un diente.,Mi diente está roto.,Los dientes se deben cepillar dos veces al día.,noun
472,о́чередь,,queue,cola,Я стоял в о́череди на концерт.,Она была первой в о́череди.,Меня пропустили в о́череди.,,,,I stood in the queue for the concert.,She was first in the queue.,I was let in the queue.,Estaba esperando en la cola para el concierto.,Ella fue la primera en la cola.,Me dejaron pasar en la cola.,noun
473,кой,,who,quien,Кой из вас ходил в кино вчера?,"Я не знаю, кой из них сделал это.",Кой там стоит у входа?,,,,Who of you went to the movies yesterday?,I don't know who did it.,Who is standing at the entrance there?,¿Quién de ustedes fue al cine ayer?,No sé quién lo hizo.,¿Quién está parado en la entrada allá?,other
474,подня́ться,,to rise/to go up,subir,Я поднялся на вершину горы.,Они поднимаются на лифте.,Вчера он поднялся рано.,,,,I climbed to the mountain top.,They are going up in the elevator.,Yesterday he rose early.,Subí a la cima de la montaña.,Ellos están subiendo en el ascensor.,Ayer se levantó temprano.,verb
475,ка́мень,,stone,piedra,Я увидел красивый ка́мень на берегу реки.,Он поднял большой ка́мень.,Ка́меню вековая мудрость присуща.,,,,I saw a beautiful stone on the riverbank.,He lifted a big stone.,Stones carry centuries-old wisdom.,Vi una hermosa piedra en la orilla del río.,Él levantó una piedra grande.,Las piedras llevan sabiduría milenaria.,noun
476,гость,,guest,invitado,Сегодня у нас пришел новый гость.,Я рада видеть каждого гостя.,Гостю предложили удобную комнату.,,,,Today we have a new guest.,I am glad to see every guest.,The guest was offered a comfortable room.,Hoy tenemos un nuevo invitado.,Me alegra ver a cada invitado.,Al invitado se le ofreció una habitación cómoda.,noun
477,показа́ться,,to appear/to seem,aparecer/parecer,Она мне кажется очень дружелюбной.,Они показались нам счастливыми.,"Нам показалось, что все было в порядке.",,,,She seems very friendly to me.,They seemed happy to us.,It seemed to us that everything was fine.,Ella me parece muy amigable.,Nos parecían felices.,Nos pareció que todo estaba bien.,verb
478,ве́тер,,wind,viento,Сегодня сильный ветер дует.,Ветром развеваются флаги.,Ветра приносят освежающий воздух.,,,,Today the strong wind is blowing.,The flags are fluttering in the wind.,The winds bring refreshing air.,Hoy el viento fuerte está soplando.,Las banderas ondean con el viento.,Los vientos traen aire fresco.,noun
479,собира́ться,,to plan/to,planear,Ты собираешься на встречу с друзьями вечером?,Мы собираемся пойти в кино завтра.,Они собирались путешествовать летом.,,,,Are you planning to meet friends in the evening?,We are planning to go to the movies tomorrow.,They were planning to travel in the summer.,¿Estás planeando encontrarte con amigos esta noche?,Estamos planeando ir al cine mañana.,Ellos planeaban viajar en verano.,verb
480,попа́сть,,to get,llegar,Я попада́ю в разные истории из-за своей доброты.,Вчера мы попа́ли в непогоду.,Мы попа́ли на стройку.,,,,I get into various situations because of my kindness.,Yesterday we got caught in bad weather.,We ended up at the construction site.,Llego a diferentes situaciones por mi amabilidad.,Ayer nos pilló mal tiempo.,Acabamos en la obra.,verb
